company,n_sites,name_variants,company_source,parent_codes,n_countries,countries,regions,verticals,customer_classes,best_segmentation,has_hq_site,fda_any,first_created,last_updated,n_flag_review
Illinois Tool Works Inc.,20,,global_hq_rollup,Illino,9,"United States, China, Spain, France, Netherlands …","North America, EMEA, Asia-Pacific, Latin America","Industrial, Automotive, Consumer Products, Electronics, Other","Customer, Former Customer",B,False,False,2020-10-31,2025-11-29,0
Ernst & Young,20,,site_name,,3,"United States, Canada, Australia","North America, Asia-Pacific",,"Partner, Customer",,False,False,2020-10-31,2024-11-22,0
Lucent Technologies,20,,site_name,Alcate,4,"United States, China, South Africa, Brazil","North America, Asia-Pacific, EMEA, Latin America",,"Bill-To, Customer, Prospect",,False,False,2020-10-31,2023-04-29,0
Thermo Fisher Scientific (HQ),20,,global_hq_rollup,"Thermo, Thermp",5,"United States, United Kingdom, Netherlands, New Zealand, China","North America, EMEA, Asia-Pacific","Life Sciences, Electronics, Industrial, Other","Customer, Bill-To",,False,False,2020-10-31,2025-10-14,0
BorgWarner Inc.,20,,global_hq_rollup,Borgwa,10,"United States, China, Hungary, Brazil, Poland …","Asia-Pacific, EMEA, North America, Latin America","Automotive, Industrial","Customer, Bill-To",,False,False,2020-10-31,2025-10-14,0
Eaton Corporation,20,,site_name,Eatonc,5,"United States, South Korea, China, Hong Kong, South Africa","North America, Asia-Pacific, EMEA",,"Bill-To, Customer, Prospect",,False,False,2020-10-31,2023-04-29,0
The Coca Cola Company,19,The Coca Cola Company | The Coca-Cola Company,site_name,Ccompa,12,"United States, China, Argentina, India, Costa Rica …","North America, Latin America, Asia-Pacific, EMEA",Food & Beverage,"Customer, Former Customer",,True,False,2020-10-31,2025-10-03,0
Cummins Inc.,19,,global_hq_rollup,Cummin,8,"China, United States, India, Brazil, Canada …","Asia-Pacific, North America, EMEA, Latin America","Automotive, Industrial","Customer, Former Customer",,False,False,2020-10-31,2025-10-31,0
Stryker Corporation (HQ),19,,global_hq_rollup,Stryke,9,"United States, Switzerland, Argentina, United Kingdom, France …","North America, Latin America, EMEA",Life Sciences,"Customer, Former Customer",A,False,True,2020-10-31,2025-12-04,0
"Medtronic, Inc.",19,"Medtronic Inc. | Medtronic, Inc.",global_hq_rollup,Medtro,4,"United States, Belgium, Netherlands, United Kingdom","North America, EMEA",Life Sciences,"Customer, Bill-To",,True,False,2020-10-31,2025-10-28,0
"Post Holdings, Inc.",19,,global_hq_rollup,Postho,2,"United States, Canada",North America,Food & Beverage,"Customer, Former Customer",,False,False,2020-10-31,2025-12-06,0
Albany International,19,,global_hq_rollup,Albany,13,"United States, France, Italy, United Kingdom, Canada …","EMEA, North America, Asia-Pacific, Latin America","Industrial, Consumer Products","Customer, Bill-To",,True,False,2020-10-31,2025-10-14,0
Howmet Aerospace,19,,global_hq_rollup,Howmet,7,"United States, France, Mexico, Germany, United Kingdom …","EMEA, North America, Latin America, Asia-Pacific","Industrial, Consumer Products","Customer, Former Customer",C,False,False,2020-10-31,2025-12-07,0
"PPG Industries, Inc. HQ",19,,global_hq_rollup,Ppgcor,10,"United States, United Kingdom, China, Germany, United Arab Emirates …","North America, EMEA, Asia-Pacific","Industrial, Consumer Products","Customer, Bill-To",,False,False,2020-10-31,2025-10-14,0
Samvardhana Motherson Group,18,,global_hq_rollup,"Mssllt, Hondam",11,"India, Germany, Mexico, Hungary, Brazil …","EMEA, Asia-Pacific, Latin America, North America","Automotive, Electronics","Customer, Former Customer",C,False,False,2020-10-31,2025-10-14,0
Aditya Birla Group,18,,global_hq_rollup,Aditya,9,"United States, Italy, Spain, China, Brazil …","North America, EMEA, Asia-Pacific, Latin America","Industrial, Consumer Products",Customer,,False,False,2020-10-31,2025-10-14,0
KYB Corporation,18,,global_hq_rollup,Kayaba,9,"Spain, United States, Japan, Thailand, United Arab Emirates …","Asia-Pacific, EMEA, North America, Latin America","Automotive, Other","Customer, Former Customer",A,True,False,2020-10-31,2025-12-10,0
Saft SAS,18,,global_hq_rollup,Saftco,12,"France, China, Austria, Norway, Finland …","EMEA, Asia-Pacific, Latin America, North America","Electronics, Industrial",Customer,,True,False,2020-10-31,2025-11-07,0
Faurecia HQ,17,,global_hq_rollup,Faurec,6,"China, Mexico, Germany, Canada, Thailand …","Asia-Pacific, Latin America, EMEA, North America","Automotive, Consumer Products","Customer, Former Customer",,False,False,2020-10-31,2025-10-03,0
Ningbo Joyson Electronic Corp.,17,,global_hq_rollup,Ningbo,8,"China, United States, India, Italy, Germany …","Asia-Pacific, EMEA, North America, Latin America",Automotive,"Customer, Bill-To, Former Customer",,False,False,2020-10-31,2025-11-25,0
C.H. Boehringer Sohn,16,,global_hq_rollup,Chboeh,13,"United States, Argentina, Colombia, Germany, Greece …","EMEA, North America, Latin America",Life Sciences,"Customer, Bill-To",,False,False,2020-10-31,2025-10-03,0
3M Company,16,,global_hq_rollup,"Minnes, Capita",4,"United States, Brazil, Netherlands, Poland","North America, EMEA, Latin America","Consumer Products, Industrial","Customer, Bill-To",B,False,False,2020-10-31,2025-12-07,0
Arthur Andersen,16,ARTHUR ANDERSEN | Arthur Andersen,site_name,,4,"United States, Canada, Philippines, United Kingdom","North America, Asia-Pacific, EMEA",,"Partner, Customer",,False,False,2020-10-31,2024-11-22,0
Hewlett Packard,16,Hewlett Packard | Hewlett-Packard,site_name,Hewlet,2,"United States, Australia","North America, Asia-Pacific",,"Customer, Partner, Bill-To",,False,False,2020-10-31,2024-11-22,0
Associated British Foods Plc HQ,16,,global_hq_rollup,Associ,9,"United Kingdom, China, United States, Poland, France …","EMEA, Asia-Pacific, North America","Food & Beverage, Consumer Products",Customer,,False,False,2020-10-31,2025-10-14,0
Imperial Brands PLC,16,,global_hq_rollup,Itobac,11,"France, Germany, United Kingdom, Sweden, Madagascar …","EMEA, North America",Food & Beverage,"Customer, Former Customer",,False,False,2020-10-31,2025-10-28,0
CoorsTek Inc.,15,,global_hq_rollup,Coorst,6,"United States, United Kingdom, Italy, Japan, Czech Republic …","North America, EMEA, Asia-Pacific","Industrial, Consumer Products, Life Sciences","Customer, Former Customer",B,False,False,2020-10-31,2025-10-31,0
Detmold Group,15,,global_hq_rollup,Detmol,8,"China, Australia, Hong Kong, Indonesia, New Zealand …","Asia-Pacific, EMEA",Industrial,"Customer, Bill-To",,False,False,2020-10-31,2025-10-03,0
Honeywell HQ,15,,global_hq_rollup,Honeyw,6,"United States, China, Singapore, Japan, United Kingdom …","Asia-Pacific, North America, EMEA","Consumer Products, Industrial, Electronics, Other","Customer, Former Customer",C,False,False,2020-10-31,2025-10-31,0
TE Connectivity Ltd.,15,,global_hq_rollup,Tycoel,9,"United States, Japan, Saudi Arabia, Cyprus, Argentina …","North America, EMEA, Latin America, Asia-Pacific","Industrial, Electronics, Consumer Products, Automotive","Customer, Former Customer",,False,False,2020-10-31,2025-10-29,0
Schlumberger,15,,site_name,Schlum,2,"United States, United Kingdom","North America, EMEA",,"Customer, Bill-To",,False,False,2020-10-31,2023-04-29,0
Aptiv PLC,14,,global_hq_rollup,Aptivp,10,"United States, United Kingdom, Brazil, Mexico, India …","Latin America, EMEA, Asia-Pacific, North America",Automotive,"Customer, Bill-To, Former Customer",C,False,False,2020-10-31,2025-10-14,0
Budimex SA,14,,global_hq_rollup,Budime,4,"Poland, Russian Federation, Germany, Czech Republic",EMEA,"Industrial, Electronics",Customer,,False,False,2020-10-31,2025-10-03,0
Baxter International Inc.,14,,global_hq_rollup,Baxter,7,"United States, Saudi Arabia, Australia, Germany, Ireland …","North America, EMEA, Asia-Pacific",Life Sciences,"Customer, Former Customer, Bill-To",B,False,True,2020-10-31,2025-10-11,0
Amcor plc,14,,global_hq_rollup,"Aepbor, Amcorl",8,"United States, United Kingdom, Argentina, Mexico, Netherlands …","North America, EMEA, Latin America, Asia-Pacific",Industrial,"Customer, Former Customer",A,False,False,2020-10-31,2025-10-14,0
IBM,14,,site_name,,2,"United States, Australia","North America, Asia-Pacific",,"Partner, Customer",,False,False,2020-10-31,2024-11-22,0
EDS,14,,site_name,,2,"United States, Belgium","North America, EMEA",,"Partner, Customer, Prospect",,False,False,2020-10-31,2024-11-22,0
PZ Cussons Plc,14,,global_hq_rollup,Cusson,11,"United Kingdom, Poland, Kenya, Thailand, Indonesia …","EMEA, Asia-Pacific","Consumer Products, Food & Beverage",Customer,,False,False,2020-10-31,2025-10-03,0
Facil & Cie G.C.V.,14,FACIL & Cie G.C.V. | Facil & Cie G.C.V.,global_hq_rollup,Facilc,3,"United States, Canada, Belgium","North America, EMEA","Industrial, Automotive","Customer, Prospect",,False,False,2020-10-31,2025-10-03,0
Danaher Corporation,14,,global_hq_rollup,Danahe,4,"United States, Netherlands, Sweden, France","North America, EMEA","Life Sciences, Electronics, Other, Industrial","Customer, Former Customer, Bill-To",B,False,True,2020-10-31,2025-10-03,0
Valeo SA,14,,global_hq_rollup,Valeos,8,"Poland, Thailand, Japan, Mexico, United Kingdom …","EMEA, Asia-Pacific, Latin America, North America","Automotive, Industrial",Customer,,False,False,2020-10-31,2025-10-03,0
Legrand Holding SA,14,,global_hq_rollup,Legran,8,"France, Italy, Costa Rica, Hungary, China …","EMEA, Latin America, Asia-Pacific, North America",Electronics,"Customer, Former Customer, Bill-To",,False,False,2020-10-31,2025-10-14,0
"Silicon Graphics, Inc.",13,"Silicon Graphics Inc. | Silicon Graphics, Inc.",global_hq_rollup,Silico,12,"United States, Japan, United Kingdom, Germany, Norway …","EMEA, Latin America, North America, Asia-Pacific","Consumer Products, Industrial, Electronics",Customer,,False,False,2020-10-31,2025-10-03,0
Joyson Safety Systems,13,,global_hq_rollup,"Joyson, Ningbo",6,"United States, China, Japan, Singapore, Brazil …","Asia-Pacific, North America, Latin America, EMEA",Automotive,"Customer, Former Customer",A,False,False,2020-10-31,2025-12-11,0
Novartis AG,13,,global_hq_rollup,Novart,4,"United States, Switzerland, Singapore, Indonesia","North America, EMEA, Asia-Pacific","Life Sciences, Electronics, Other","Customer, Bill-To",,False,False,2020-10-31,2025-10-14,0
"Valmont Industries, Inc. (VMI)",13,,global_hq_rollup,Valmon,9,"United States, China, Netherlands, Italy, Australia …","Asia-Pacific, EMEA, North America",Industrial,"Customer, Bill-To",,False,False,2020-10-31,2025-10-30,0
Haleon UK Trading Limited,13,,global_hq_rollup,Glaxos,6,"India, United Kingdom, Algeria, Nigeria, Turkey …","EMEA, Asia-Pacific","Life Sciences, Other","Customer, Former Customer, Bill-To",,False,False,2020-10-31,2025-11-08,0
"Spectrum Brands Holdings, Inc.",13,,global_hq_rollup,Sbrand,8,"United States, Venezuela, Colombia, Argentina, Mexico …","North America, Latin America, Asia-Pacific","Consumer Products, Industrial",Customer,C,False,False,2020-10-31,2025-10-03,0
Arconic Corporation,13,,global_hq_rollup,Arconi,3,"United States, Germany, United Kingdom","North America, EMEA",Industrial,"Customer, Former Customer",,False,False,2020-10-31,2025-10-03,0
GRUPO LAMOSA S.A. B. DE C.V,13,"GRUPO LAMOSA S.A. B. DE C.V | Grupo Lamosa, S.A. B de C.V.",global_hq_rollup,Glamos,1,Mexico,Latin America,"Industrial, Consumer Products","Customer, Bill-To",,True,False,2020-10-31,2025-10-03,0
Danfoss A/S,13,,global_hq_rollup,Sauers,8,"China, United Kingdom, Sweden, Italy, Brazil …","EMEA, Asia-Pacific, Latin America, North America","Industrial, Food & Beverage, Automotive, Electronics",Customer,,True,False,2020-10-31,2025-10-03,0
Sun Microsystems,12,,site_name,Sunmic,4,"United States, Netherlands, United Kingdom, Australia","North America, EMEA, Asia-Pacific",,"Customer, Partner",,False,False,2020-10-31,2024-11-22,0
Sara Lee Corp.,12,,global_hq_rollup,Sarale,9,"Australia, Hong Kong, New Zealand, Singapore, Indonesia …","Asia-Pacific, North America, EMEA","Food & Beverage, Consumer Products",Customer,,False,False,2020-10-31,2025-10-03,0
Rockwell Automation,12,,global_hq_rollup,Rockwe,6,"United States, Singapore, Hong Kong, South Korea, Taiwan …","North America, Asia-Pacific","Electronics, Industrial","Customer, Bill-To",,True,False,2020-10-31,2025-10-03,0
Ciba Specialty Chemicals,12,,global_hq_rollup,Cibasp,9,"France, China, United States, Netherlands, Switzerland …","EMEA, Asia-Pacific, Latin America, North America","Industrial, Other",Customer,,False,False,2020-10-31,2025-10-03,0
Aisin Corporation,12,,global_hq_rollup,Aisins,4,"United States, China, India, Thailand","North America, Asia-Pacific","Automotive, Industrial","Customer, Former Customer",C,False,False,2020-10-31,2025-12-07,0
Ali SpA,12,,global_hq_rollup,Alispa,8,"United States, Spain, France, Finland, Italy …","EMEA, North America","Industrial, Consumer Products, Life Sciences","Customer, Former Customer, Bill-To",,False,False,2020-10-31,2025-10-14,0
Ingersoll Rand,12,Ingersoll Rand | Ingersoll-Rand,site_name,Ingers,6,"United States, New Zealand, Italy, France, United Kingdom …","North America, EMEA, Asia-Pacific","Industrial, Automotive","Customer, Former Customer",A,True,False,2020-10-31,2025-11-26,0
Liebherr-International SA,12,,global_hq_rollup,Liebhe,9,"Germany, Switzerland, China, Australia, Singapore …","EMEA, Asia-Pacific",Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
"TS TECH CO., LTD",12,,global_hq_rollup,Tstech,8,"Mexico, United States, India, United Kingdom, Philippines …","Asia-Pacific, Latin America, EMEA, North America",Automotive,"Customer, Bill-To, Former Customer",,False,False,2020-10-31,2025-10-14,0
TI Fluid Systems plc,12,,global_hq_rollup,Tiauto,8,"China, United States, Italy, Australia, Spain …","Asia-Pacific, EMEA, North America",Automotive,"Customer, Former Customer",,False,False,2020-10-31,2025-10-31,0
Acer Computer International,12,,global_hq_rollup,Acerin,10,"Taiwan, United Arab Emirates, Colombia, Singapore, Hong Kong …","Asia-Pacific, EMEA, Latin America",Consumer Products,"Customer, Former Customer",,True,False,2020-10-31,2025-10-03,0
Renolit SE,11,,global_hq_rollup,Renoli,7,"China, United States, Italy, Germany, Hong Kong …","Asia-Pacific, EMEA, North America","Industrial, Life Sciences","Customer, Former Customer",,False,False,2020-10-31,2025-10-31,0
Panasonic Corporation - for GEO Team,11,,global_hq_rollup,Matsus,6,"China, Japan, Australia, Indonesia, Malaysia …","Asia-Pacific, EMEA","Consumer Products, Electronics, Industrial","Customer, Inactive",,False,False,2020-10-31,2025-10-14,0
"Grupo Kuo, S.A.B. de C.V. (formerly Desc SA)",11,,global_hq_rollup,Grupok,2,"Mexico, United States","Latin America, North America","Automotive, Industrial, Electronics",Customer,,False,False,2020-10-31,2025-10-03,0
Atos SE,11,,global_hq_rollup,Atosse,8,"India, China, Belgium, Hong Kong, Spain …","Asia-Pacific, EMEA, North America","Other, Consumer Products","Partner, Customer, Former Customer, Bill-To",B,False,False,2020-10-31,2025-10-03,0
Regal Rexnord Corporation,11,,global_hq_rollup,Regalb,2,"United States, China","North America, Asia-Pacific","Electronics, Industrial, Other","Customer, Bill-To",,False,False,2020-10-31,2025-10-03,0
Henkel AG & Co. KGaA,11,,global_hq_rollup,Henkel,7,"United Kingdom, Tunisia, Germany, Netherlands, Italy …","EMEA, Asia-Pacific","Industrial, Consumer Products, Life Sciences",Customer,,False,False,2020-10-31,2025-10-03,0
ASAHI KASEI CORPORATION,11,,global_hq_rollup,Asahik,9,"United States, Israel, France, Spain, Czech Republic …","EMEA, North America, Latin America","Industrial, Life Sciences, Automotive",Customer,,False,False,2020-10-31,2025-10-14,0
Anritsu Corporation,11,ANRITSU CORPORATION | Anritsu Corporation,global_hq_rollup,Anrits,8,"China, United States, United Kingdom, Germany, Japan …","Asia-Pacific, North America, EMEA, Latin America",Electronics,"Customer, Former Customer, Prospect, Bill-To",C,False,False,2020-10-31,2025-12-11,0
Xerox Corporation,11,,site_name,Xeroxc,1,United States,North America,,"Customer, Prospect",,False,False,2020-10-31,2023-04-29,0
American Axle & Manufacturing Inc.,11,,global_hq_rollup,Metald,6,"United States, Mexico, United Kingdom, Germany, Spain …","North America, EMEA, Latin America, Asia-Pacific",Automotive,"Customer, Former Customer, Bill-To",C,False,False,2020-10-31,2025-12-07,0
Ford Motor Company HQ,11,,global_hq_rollup,Fordmo,9,"India, United States, Brazil, Belarus, Thailand …","Asia-Pacific, North America, Latin America, EMEA",Automotive,Customer,,False,False,2020-10-31,2025-10-14,0
Olayan Group,11,,global_hq_rollup,Olayan,1,Saudi Arabia,EMEA,"Industrial, Consumer Products, Other, Life Sciences, Electronics",Customer,,False,False,2020-10-31,2025-11-25,0
Sonoco Products Company,11,,global_hq_rollup,Sonoco,4,"United States, United Kingdom, Norway, Poland","North America, EMEA","Industrial, Consumer Products","Customer, Bill-To, Former Customer",,False,False,2020-10-31,2025-10-03,0
Freudenberg-Nok,11,Freudenberg NOK | Freudenberg Nok | Freudenberg-NOK | Freudenberg-Nok,site_name,Freude,1,United States,North America,,"Customer, Bill-To, Distributor",,False,False,2020-10-31,2023-04-29,0
Colgate-Palmolive Company,11,,global_hq_rollup,Colgat,10,"Turkey, Slovenia, Hungary, Romania, Tunisia …","EMEA, Latin America",Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
QAD Cloud,10,,global_hq_rollup,,1,United States,North America,,Internal,A,False,False,2020-10-31,2025-11-06,0
Uponor Oyj,10,,global_hq_rollup,Uponor,9,"Portugal, United States, Poland, Finland, Denmark …","EMEA, North America",Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Hubbell Inc,10,,global_hq_rollup,Hubbel,3,"United States, Brazil, Canada","North America, Latin America",Electronics,"Customer, Former Customer, Bill-To",C,True,False,2020-10-31,2025-12-07,0
Pricewaterhouse Coopers Llp,10,Pricewaterhouse Coopers LLP | Pricewaterhouse Coopers Llp,site_name,,2,"United States, Canada",North America,,Partner,,False,False,2020-10-31,2024-11-22,0
Dongfeng Motor Corporation,10,,global_hq_rollup,Dongfe,1,China,Asia-Pacific,Automotive,Customer,,False,False,2020-10-31,2025-11-25,0
Akebono Brake Industry Co,10,,global_hq_rollup,Akebon,5,"United States, France, Mexico, Thailand, Vietnam","North America, Asia-Pacific, EMEA, Latin America",Automotive,"Customer, Bill-To, Former Customer",C,False,False,2020-10-31,2025-10-14,0
Solvay S.A.,10,,global_hq_rollup,Solvay,6,"Belgium, Spain, Portugal, United Kingdom, France …","EMEA, North America","Industrial, Automotive, Other, Life Sciences",Customer,,False,False,2020-10-31,2025-10-03,0
Tower Automotive Inc,10,Tower Automotive Inc | Tower Automotive Inc.,site_name,Autoki,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
SNOP HQ,10,,global_hq_rollup,Snopco,5,"Poland, Germany, Italy, Hungary, France",EMEA,Automotive,"Customer, Former Customer",A,False,False,2020-10-31,2025-10-03,0
Dana Incorporated,10,,global_hq_rollup,Danaco,4,"United States, Mexico, Australia, Ecuador","Latin America, North America, Asia-Pacific","Automotive, Industrial","Customer, Former Customer, Bill-To",A,False,False,2020-10-31,2025-10-03,0
